date_administered,vaccines
12/11/2020,0
12/12/2020,1
12/13/2020,0
12/14/2020,1
12/15/2020,13
12/16/2020,229
12/17/2020,417
12/18/2020,942
12/19/2020,650
12/20/2020,499
12/21/2020,1189
12/22/2020,1414
12/23/2020,1453
12/24/2020,877
12/25/2020,47
12/26/2020,274
12/27/2020,294
12/28/2020,1273
12/29/2020,1416
12/30/2020,1661
12/31/2020,1063
1/1/2021,97
1/2/2021,383
1/3/2021,315
1/4/2021,1856
1/5/2021,2205
1/6/2021,1894
1/7/2021,2112
1/8/2021,2381
1/9/2021,1432
1/10/2021,905
1/11/2021,2563
1/12/2021,3067
1/13/2021,2906
1/14/2021,2537
1/15/2021,2818
1/16/2021,2270
1/17/2021,1938
1/18/2021,1392
1/19/2021,2756
1/20/2021,2939
1/21/2021,3492
1/22/2021,3393
1/23/2021,3142
1/24/2021,2435
1/25/2021,4656
1/26/2021,4828
1/27/2021,4369
1/28/2021,3946
1/29/2021,4906
1/30/2021,3739
1/31/2021,2336
2/1/2021,4063
2/2/2021,4546
2/3/2021,5133
2/4/2021,5177
2/5/2021,6208
2/6/2021,5684
2/7/2021,4496
2/8/2021,7100
2/9/2021,6274
2/10/2021,7221
2/11/2021,7056
2/12/2021,5521
2/13/2021,4453
2/14/2021,3510
2/15/2021,2830
2/16/2021,5362
2/17/2021,5566
2/18/2021,5623
2/19/2021,5899
2/20/2021,4740
2/21/2021,3047
2/22/2021,5538
2/23/2021,6084
2/24/2021,9639
2/25/2021,10799
2/26/2021,13260
2/27/2021,10071
2/28/2021,8437
3/1/2021,12498
3/2/2021,12176
3/3/2021,12430
3/4/2021,10326
3/5/2021,10509
3/6/2021,7779
3/7/2021,6228
3/8/2021,9088
3/9/2021,9144
3/10/2021,12170
3/11/2021,10672
3/12/2021,11350
3/13/2021,6899
3/14/2021,7465
3/15/2021,12108
3/16/2021,12351
3/17/2021,13626
3/18/2021,10403
3/19/2021,12793
3/20/2021,8991
3/21/2021,6521
3/22/2021,10158
3/23/2021,11584
3/24/2021,12433
3/25/2021,12219
3/26/2021,12290
3/27/2021,9207
3/28/2021,6651
3/29/2021,11836
3/30/2021,12141
3/31/2021,12699
4/1/2021,14477
4/2/2021,15198
4/3/2021,10761
4/4/2021,8820
4/5/2021,16179
4/6/2021,16432
4/7/2021,17129
4/8/2021,14641
4/9/2021,15946
4/10/2021,13129
4/11/2021,9630
4/12/2021,10927
4/13/2021,11330
4/14/2021,13608
4/15/2021,14398
4/16/2021,13504
4/17/2021,10357
4/18/2021,7093
4/19/2021,11234
4/20/2021,13281
4/21/2021,12318
4/22/2021,11703
4/23/2021,11226
4/24/2021,8273
4/25/2021,5069
4/26/2021,8741
4/27/2021,9462
4/28/2021,10326
4/29/2021,10185
4/30/2021,11617
5/1/2021,7126
5/2/2021,5303
5/3/2021,9398
5/4/2021,9731
5/5/2021,9579
5/6/2021,11404
5/7/2021,10633
5/8/2021,8777
5/9/2021,6559
5/10/2021,7626
5/11/2021,8690
5/12/2021,8588
5/13/2021,11615
5/14/2021,9785
5/15/2021,8220
5/16/2021,5302
5/17/2021,7624
5/18/2021,8835
5/19/2021,7627
5/20/2021,6387
5/21/2021,7179
5/22/2021,4838
5/23/2021,2027
5/24/2021,4334
5/25/2021,3821
5/26/2021,4118
5/27/2021,3787
5/28/2021,3803
5/29/2021,2092
5/30/2021,1004
5/31/2021,298
6/1/2021,3687
6/2/2021,2537
6/3/2021,3977
6/4/2021,5723
6/5/2021,3862
6/6/2021,2294
6/7/2021,3749
6/8/2021,2881
6/9/2021,2440
6/10/2021,2583
6/11/2021,3132
6/12/2021,3097
6/13/2021,931
6/14/2021,2553
6/15/2021,1963
6/16/2021,1932
6/17/2021,2015
6/18/2021,2356
6/19/2021,1443
6/20/2021,650
6/21/2021,1191
6/22/2021,1653
6/23/2021,1518
6/24/2021,1598
6/25/2021,1845
6/26/2021,1445
6/27/2021,578
6/28/2021,1524
6/29/2021,1396
6/30/2021,1343
7/1/2021,1296
7/2/2021,1562
7/3/2021,907
7/4/2021,27
7/5/2021,984
7/6/2021,1658
7/7/2021,1168
7/8/2021,1155
7/9/2021,1305
7/10/2021,682
7/11/2021,516
7/12/2021,1313
7/13/2021,985
7/14/2021,1109
7/15/2021,1031
7/16/2021,1207
7/17/2021,824
7/18/2021,425
7/19/2021,1223
7/20/2021,938
7/21/2021,1129
7/22/2021,1099
7/23/2021,1198
7/24/2021,789
7/25/2021,347
7/26/2021,1173
7/27/2021,1141
7/28/2021,1114
7/29/2021,1133
7/30/2021,1220
7/31/2021,758
8/1/2021,408
8/2/2021,1246
8/3/2021,1071
8/4/2021,1086
8/5/2021,1143
8/6/2021,1297
8/7/2021,774
8/8/2021,421
8/9/2021,1193
8/10/2021,1045
8/11/2021,1117
8/12/2021,1252
8/13/2021,1338
8/14/2021,908
8/15/2021,493
8/16/2021,1389
8/17/2021,1230
8/18/2021,1180
8/19/2021,1214
8/20/2021,1356
8/21/2021,1006
8/22/2021,548
8/23/2021,1459
8/24/2021,1211
8/25/2021,1075
8/26/2021,1257
8/27/2021,1249
8/28/2021,908
8/29/2021,434
8/30/2021,1201
8/31/2021,1012
9/1/2021,1006
9/2/2021,1017
9/3/2021,1186
9/4/2021,846
9/5/2021,407
9/6/2021,143
9/7/2021,1232
9/8/2021,973
9/9/2021,947
9/10/2021,1077
9/11/2021,760
9/12/2021,452
9/13/2021,1026
9/14/2021,927
9/15/2021,865
9/16/2021,887
9/17/2021,914
9/18/2021,650
9/19/2021,342
9/20/2021,833
9/21/2021,709
9/22/2021,662
9/23/2021,714
9/24/2021,831
9/25/2021,639
9/26/2021,347
9/27/2021,669
9/28/2021,746
9/29/2021,801
9/30/2021,767
10/1/2021,793
10/2/2021,455
10/3/2021,296
10/4/2021,681
10/5/2021,737
10/6/2021,606
10/7/2021,634
10/8/2021,659
10/9/2021,419
10/10/2021,249
10/11/2021,575
10/12/2021,663
10/13/2021,639
10/14/2021,597
10/15/2021,708
10/16/2021,361
10/17/2021,214
10/18/2021,670
10/19/2021,570
10/20/2021,525
10/21/2021,549
10/22/2021,615
10/23/2021,381
10/24/2021,161
10/25/2021,674
10/26/2021,656
10/27/2021,610
10/28/2021,622
10/29/2021,690
10/30/2021,403
10/31/2021,250
11/1/2021,752
11/2/2021,721
11/3/2021,704
11/4/2021,738
11/5/2021,1605
11/6/2021,1897
11/7/2021,1035
11/8/2021,2001
11/9/2021,1984
11/10/2021,1871
11/11/2021,1776
11/12/2021,1904
11/13/2021,2481
11/14/2021,811
11/15/2021,1479
11/16/2021,1550
11/17/2021,1626
11/18/2021,1392
11/19/2021,1565
11/20/2021,1429
11/21/2021,598
11/22/2021,1739
11/23/2021,1516
11/24/2021,1332
11/25/2021,131
11/26/2021,635
11/27/2021,1505
11/28/2021,1360
11/29/2021,2034
11/30/2021,2244
12/1/2021,2223
12/2/2021,2306
12/3/2021,2579
12/4/2021,2924
12/5/2021,876
12/6/2021,1955
12/7/2021,1998
12/8/2021,2059
12/9/2021,1771
12/10/2021,1917
12/11/2021,1939
12/12/2021,640
12/13/2021,1600
12/14/2021,1646
12/15/2021,1600
12/16/2021,1298
12/17/2021,1514
12/18/2021,1304
12/19/2021,551
12/20/2021,1546
12/21/2021,1553
12/22/2021,1428
12/23/2021,1208
12/24/2021,339
12/25/2021,5
12/26/2021,359
12/27/2021,1455
12/28/2021,1365
12/29/2021,1316
12/30/2021,1298
12/31/2021,427
1/1/2022,59
1/2/2022,422
1/3/2022,1231
1/4/2022,1092
1/5/2022,1186
1/6/2022,1291
1/7/2022,1325
1/8/2022,1003
1/9/2022,362
1/10/2022,1065
1/11/2022,1120
1/12/2022,1151
1/13/2022,1017
1/14/2022,1080
1/15/2022,577
1/16/2022,259
1/17/2022,667
1/18/2022,929
1/19/2022,950
1/20/2022,864
1/21/2022,844
1/22/2022,547
1/23/2022,228
1/24/2022,817
1/25/2022,785
1/26/2022,857
1/27/2022,781
1/28/2022,927
1/29/2022,631
1/30/2022,242
1/31/2022,679
2/1/2022,619
2/2/2022,675
2/3/2022,592
2/4/2022,843
2/5/2022,535
2/6/2022,207
2/7/2022,549
2/8/2022,533
2/9/2022,608
2/10/2022,465
2/11/2022,592
2/12/2022,406
2/13/2022,131
2/14/2022,320
2/15/2022,390
2/16/2022,419
2/17/2022,424
2/18/2022,531
2/19/2022,291
2/20/2022,124
2/21/2022,230
2/22/2022,324
2/23/2022,332
2/24/2022,381
2/25/2022,482
2/26/2022,232
2/27/2022,113
2/28/2022,308
3/1/2022,233
3/2/2022,246
3/3/2022,230
3/4/2022,364
3/5/2022,206
3/6/2022,91
3/7/2022,244
3/8/2022,208
3/9/2022,244
3/10/2022,263
3/11/2022,345
3/12/2022,188
3/13/2022,79
3/14/2022,187
3/15/2022,189
3/16/2022,201
3/17/2022,236
3/18/2022,304
3/19/2022,182
3/20/2022,89
3/21/2022,197
3/22/2022,156
3/23/2022,184
3/24/2022,191
3/25/2022,209
3/26/2022,142
3/27/2022,78
3/28/2022,196
3/29/2022,159
3/30/2022,173
3/31/2022,212
4/1/2022,244
4/2/2022,131
4/3/2022,84
4/4/2022,235
4/5/2022,186
4/6/2022,204
4/7/2022,224
4/8/2022,275
4/9/2022,139
4/10/2022,94
4/11/2022,197
4/12/2022,217
4/13/2022,248
4/14/2022,214
4/15/2022,286
4/16/2022,171
4/17/2022,88
4/18/2022,220
4/19/2022,200
4/20/2022,208
4/21/2022,210
4/22/2022,216
